loan_amount,value_per_installment,acc_amount,payment_term,capitalized_interest,value_future,months
3103.0,1034.3333333333333,3512.596,713.0,409.59600000000006,3512.5960000000005,11.0
716.0,716.0,810.512,341.0,94.512,810.5120000000001,11.0
4333.0,1083.25,4540.984,868.0,207.984,4540.984,4.0
250.0,125.0,280.0,310.0,30.0,280.0,10.0
2454.0,1227.0,2689.584,620.0,235.584,2689.5840000000003,8.0
2161.0,720.3333333333334,2238.796,465.0,77.796,2238.7960000000003,3.0
4926.0,1642.0,5162.448,868.0,236.448,5162.448,4.0
1742.0,1742.0,1992.848,360.0,250.848,1992.8480000000002,12.0
1730.0,865.0,1916.84,651.0,186.84,1916.8400000000001,9.0
1345.0,672.5,1441.84,558.0,96.84,1441.8400000000001,6.0
3942.0,985.5,4131.216,868.0,189.216,4131.216,4.0
4870.0,1217.5,5279.08,961.0,409.08,5279.08,7.0
3068.0,1534.0,3068.0,390.0,0.0,3068.0,0.0
4144.0,2072.0,4740.736,360.0,596.736,4740.736000000001,12.0
3521.0,1173.6666666666667,3605.504,810.0,84.504,3605.504,2.0
4386.0,1462.0,4438.632,775.0,52.632,4438.632,1.0
1782.0,1782.0,1867.536,120.0,85.536,1867.536,4.0
6136.0,2045.3333333333333,6283.264,806.0,147.264,6283.264,2.0
7663.0,2554.3333333333335,8306.692,960.0,643.692,8306.692000000001,7.0
2862.0,715.5,3102.408,589.0,240.40800000000002,3102.4080000000004,7.0
5208.0,1736.0,5895.456,1085.0,687.456,5895.456000000001,11.0
8244.0,2061.0,8441.856,1890.0,197.856,8441.856,2.0
4777.0,955.4,4891.648,1170.0,114.648,4891.648,2.0
576.0,288.0,610.56,540.0,34.56,610.5600000000001,5.0
5275.0,1758.3333333333333,5654.8,930.0,379.8,5654.8,6.0
2916.0,972.0,3230.928,660.0,314.928,3230.9280000000003,9.0
5096.0,1698.6666666666667,5524.064,961.0,428.064,5524.064,7.0
4256.0,1418.6666666666667,4511.36,540.0,255.36,4511.360000000001,5.0
9655.0,3218.3333333333335,10350.16,930.0,695.16,10350.16,6.0
4387.0,1096.75,4913.44,300.0,526.4399999999999,4913.4400000000005,10.0
7252.0,1813.0,7861.168,1333.0,609.168,7861.168000000001,7.0
5234.0,1308.5,5422.424,1200.0,188.424,5422.424,3.0
250.0,250.0,277.0,270.0,27.0,277.0,9.0
2305.0,576.25,2526.28,620.0,221.28,2526.28,8.0
3614.0,903.5,3614.0,744.0,0.0,3614.0,0.0
6558.0,1311.6,6951.48,899.0,393.48,6951.4800000000005,5.0
2503.0,834.3333333333334,2503.0,390.0,0.0,2503.0,0.0
3955.0,1318.3333333333333,3955.0,372.0,0.0,3955.0,0.0
400.0,400.0,419.2,120.0,19.2,419.20000000000005,4.0
990.0,990.0,1037.52,124.0,47.52,1037.52,4.0
2641.0,660.25,2894.536,990.0,253.536,2894.536,8.0
3311.0,1103.6666666666667,3589.124,960.0,278.124,3589.1240000000003,7.0
4400.0,880.0,4716.8,1290.0,316.8,4716.8,6.0
250.0,125.0,265.0,527.0,15.0,265.0,5.0
7819.0,1563.8,8100.484,840.0,281.48400000000004,8100.484,3.0
4706.0,1568.6666666666667,4706.0,744.0,0.0,4706.0,0.0
5354.0,1784.6666666666667,5418.248,403.0,64.248,5418.2480000000005,1.0
1534.0,1534.0,1662.856,210.0,128.856,1662.8560000000002,7.0
5674.0,1891.3333333333333,6218.704,990.0,544.7040000000001,6218.704000000001,8.0
1688.0,562.6666666666666,1931.0720000000001,360.0,243.072,1931.0720000000001,12.0
250.0,125.0,262.0,496.0,12.0,262.0,4.0
337.0,337.0,349.132,840.0,12.132000000000001,349.132,3.0
4893.0,1631.0,4893.0,1110.0,0.0,4893.0,0.0
4765.0,953.0,5336.8,1054.0,571.8,5336.8,10.0
6468.0,1617.0,6468.0,744.0,0.0,6468.0,0.0
8760.0,1752.0,9600.96,1364.0,840.96,9600.960000000001,8.0
4452.0,890.4,4825.968,961.0,373.968,4825.968000000001,7.0
2274.0,1137.0,2519.592,279.0,245.592,2519.592,9.0
5493.0,2746.5,5822.58,527.0,329.58,5822.58,5.0
6332.0,1583.0,6787.904,558.0,455.904,6787.904,6.0
4393.0,1464.3333333333333,4393.0,744.0,0.0,4393.0,0.0
250.0,125.0,250.0,390.0,0.0,250.0,0.0
4618.0,1539.3333333333333,5227.576,330.0,609.576,5227.576000000001,11.0
5927.0,1481.75,6709.364,1080.0,782.3639999999999,6709.3640000000005,11.0
6500.0,1625.0,6968.0,930.0,468.0,6968.0,6.0
1841.0,920.5,1951.46,527.0,110.46,1951.46,5.0
6616.0,2205.3333333333335,6695.392,1147.0,79.392,6695.392,1.0
3822.0,1274.0,4143.048,600.0,321.048,4143.048000000001,7.0
4548.0,1137.0,4930.032,589.0,382.032,4930.032,7.0
4204.0,1401.3333333333333,4355.344,837.0,151.344,4355.344,3.0
5844.0,1948.0,6124.512,870.0,280.512,6124.512000000001,4.0
2771.0,1385.5,2904.008,124.0,133.008,2904.0080000000003,4.0
5799.0,1159.8,5868.588,1147.0,69.58800000000001,5868.588,1.0
4449.0,1483.0,4502.388,780.0,53.388,4502.388,1.0
5645.0,1411.25,5780.48,810.0,135.48,5780.4800000000005,2.0
7061.0,2353.6666666666665,7484.66,899.0,423.65999999999997,7484.660000000001,5.0
5130.0,1710.0,5807.16,713.0,677.1600000000001,5807.160000000001,11.0
7089.0,1417.8,7429.272,1230.0,340.272,7429.272,4.0
1102.0,367.3333333333333,1168.12,900.0,66.12,1168.1200000000001,5.0
2817.0,1408.5,2986.02,527.0,169.02,2986.02,5.0
5835.0,1458.75,6605.22,1080.0,770.2199999999999,6605.22,11.0
5119.0,1279.75,5119.0,1110.0,0.0,5119.0,0.0
1957.0,652.3333333333334,2121.388,589.0,164.388,2121.388,7.0
250.0,250.0,262.0,496.0,12.0,262.0,4.0
250.0,250.0,268.0,558.0,18.0,268.0,6.0
1631.0,815.5,1650.572,780.0,19.572,1650.5720000000001,1.0
3733.0,1244.3333333333333,4091.368,240.0,358.368,4091.3680000000004,8.0
8265.0,2066.25,8265.0,1110.0,0.0,8265.0,0.0
250.0,250.0,268.0,558.0,18.0,268.0,6.0
2668.0,889.3333333333334,2860.096,1290.0,192.096,2860.096,6.0
4673.0,1557.6666666666667,5121.608,992.0,448.608,5121.608,8.0
250.0,83.33333333333333,283.0,341.0,33.0,283.00000000000006,11.0
2897.0,965.6666666666666,3244.64,690.0,347.64000000000004,3244.6400000000003,10.0
881.0,440.5,944.432,570.0,63.432,944.432,6.0
3786.0,1262.0,4104.024,600.0,318.024,4104.024,7.0
250.0,83.33333333333333,262.0,496.0,12.0,262.0,4.0
6474.0,1618.5,6784.752,1230.0,310.752,6784.752,4.0
690.0,230.0,690.0,744.0,0.0,690.0,0.0
3539.0,1179.6666666666667,3963.6800000000003,682.0,424.68000000000006,3963.6800000000003,10.0
6177.0,1235.4,6695.868,1320.0,518.8679999999999,6695.868,7.0
250.0,250.0,262.0,510.0,12.0,262.0,4.0
1722.0,861.0,1866.6480000000001,589.0,144.64800000000002,1866.6480000000001,7.0
250.0,125.0,271.0,589.0,21.0,271.0,7.0
3161.0,1580.5,3578.252,713.0,417.252,3578.2520000000004,11.0
5966.0,1193.2,6467.144,961.0,501.144,6467.144,7.0
8838.0,1767.6,9792.504,1380.0,954.504,9792.504,9.0
440.0,220.0,482.24,240.0,42.24,482.24,8.0
2974.0,991.3333333333334,3259.504,620.0,285.504,3259.5040000000004,8.0
6810.0,1702.5,7627.2,1054.0,817.2,7627.200000000001,10.0
4534.0,1133.5,4806.04,540.0,272.04,4806.04,5.0
3789.0,947.25,3925.404,840.0,136.404,3925.404,3.0
5537.0,1384.25,6267.884,341.0,730.884,6267.884000000001,11.0
1529.0,509.6666666666667,1529.0,372.0,0.0,1529.0,0.0
3454.0,1727.0,3661.24,540.0,207.24,3661.2400000000002,5.0
2018.0,1009.0,2260.16,1050.0,242.16000000000003,2260.1600000000003,10.0
922.0,922.0,944.128,434.0,22.128,944.128,2.0
1918.0,639.3333333333334,1964.032,810.0,46.032000000000004,1964.0320000000002,2.0
1680.0,560.0,1760.64,496.0,80.64,1760.64,4.0
6111.0,1222.2,6550.992,930.0,439.9920000000001,6550.992,6.0
2402.0,600.5,2517.296,868.0,115.296,2517.2960000000003,4.0
4480.0,1493.3333333333333,4802.56,570.0,322.56,4802.56,6.0
6086.0,1521.5,6889.352,720.0,803.352,6889.352000000001,11.0
3624.0,1812.0,3884.928,930.0,260.928,3884.9280000000003,6.0
3091.0,1030.3333333333333,3091.0,390.0,0.0,3091.0,0.0
5629.0,1876.3333333333333,5831.644,837.0,202.644,5831.644,3.0
5279.0,1759.6666666666667,5279.0,744.0,0.0,5279.0,0.0
329.0,164.5,364.532,270.0,35.532,364.53200000000004,9.0
4137.0,1379.0,4137.0,372.0,0.0,4137.0,0.0
1107.0,553.5,1146.852,465.0,39.852000000000004,1146.852,3.0
2492.0,623.0,2551.808,434.0,59.808,2551.808,2.0
7877.0,1575.4,8444.144,1290.0,567.144,8444.144,6.0
4070.0,2035.0,4118.84,403.0,48.84,4118.84,1.0
5468.0,1367.0,5664.848,837.0,196.848,5664.848,3.0
6905.0,1726.25,7153.58,837.0,248.57999999999998,7153.58,3.0
3897.0,1299.0,3897.0,372.0,0.0,3897.0,0.0
472.0,472.0,505.984,570.0,33.983999999999995,505.98400000000004,6.0
4929.0,1232.25,4929.0,390.0,0.0,4929.0,0.0
5361.0,1787.0,5618.328,868.0,257.32800000000003,5618.328,4.0
250.0,83.33333333333333,262.0,124.0,12.0,262.0,4.0
3370.0,1123.3333333333333,3370.0,390.0,0.0,3370.0,0.0
1070.0,356.6666666666667,1134.2,540.0,64.2,1134.2,5.0
4037.0,1345.6666666666667,4521.4400000000005,300.0,484.44000000000005,4521.4400000000005,10.0
340.0,170.0,384.88,330.0,44.88,384.88000000000005,11.0
2159.0,719.6666666666666,2340.3559999999998,961.0,181.356,2340.356,7.0
5283.0,1320.75,5853.564,1020.0,570.564,5853.564,9.0
6676.0,1669.0,6916.336,1209.0,240.33599999999998,6916.336,3.0
3411.0,852.75,3411.0,750.0,0.0,3411.0,0.0
6693.0,1673.25,6773.316,780.0,80.316,6773.316,1.0
5614.0,1403.5,5681.368,775.0,67.368,5681.368,1.0
4781.0,1593.6666666666667,4781.0,372.0,0.0,4781.0,0.0
2732.0,1366.0,2961.488,600.0,229.488,2961.4880000000003,7.0
3007.0,1503.5,3295.672,240.0,288.672,3295.6720000000005,8.0
2849.0,949.6666666666666,3156.692,660.0,307.692,3156.6920000000005,9.0
1507.0,502.3333333333333,1507.0,744.0,0.0,1507.0,0.0
5566.0,1391.5,5966.752,930.0,400.752,5966.752,6.0
250.0,125.0,268.0,180.0,18.0,268.0,6.0
2160.0,540.0,2185.92,775.0,25.92,2185.92,1.0
250.0,125.0,283.0,341.0,33.0,283.00000000000006,11.0
6327.0,1581.75,6554.772,1200.0,227.77200000000002,6554.772,3.0
2241.0,747.0,2348.568,496.0,107.568,2348.568,4.0
6322.0,1264.4,6473.728,1170.0,151.728,6473.728,2.0
6599.0,1319.8,6915.752,870.0,316.752,6915.752,4.0
1353.0,676.5,1499.124,660.0,146.124,1499.124,9.0
5588.0,1397.0,5655.056,1140.0,67.056,5655.0560000000005,1.0
3074.0,768.5,3332.216,600.0,258.216,3332.2160000000003,7.0
862.0,431.0,944.752,620.0,82.752,944.7520000000001,8.0
2484.0,828.0,2484.0,744.0,0.0,2484.0,0.0
9225.0,2306.25,9889.2,930.0,664.2,9889.2,6.0
3480.0,1160.0,3855.84,651.0,375.84,3855.84,9.0
4921.0,1640.3333333333333,5039.104,434.0,118.104,5039.104,2.0
2196.0,549.0,2512.224,360.0,316.224,2512.224,12.0
5794.0,1448.5,6558.808,1080.0,764.8080000000001,6558.808000000001,11.0
5172.0,1293.0,5544.384,558.0,372.384,5544.384,6.0
4758.0,1189.5,5214.768,990.0,456.76800000000003,5214.768,8.0
1371.0,685.5,1420.356,480.0,49.35600000000001,1420.356,3.0
2792.0,930.6666666666666,2792.0,750.0,0.0,2792.0,0.0
250.0,250.0,262.0,120.0,12.0,262.0,4.0
5602.0,1120.4,6274.24,1050.0,672.24,6274.240000000001,10.0
1602.0,534.0,1602.0,372.0,0.0,1602.0,0.0
250.0,83.33333333333333,268.0,186.0,18.0,268.0,6.0
5201.0,1300.25,5263.412,775.0,62.412,5263.412,1.0
4496.0,1498.6666666666667,4657.856,465.0,161.856,4657.856,3.0
5126.0,1281.5,5126.0,1110.0,0.0,5126.0,0.0
5577.0,1859.0,6112.392,240.0,535.392,6112.392000000001,8.0
2066.0,516.5,2313.92,690.0,247.92000000000002,2313.92,10.0
944.0,314.6666666666667,1068.608,330.0,124.60799999999999,1068.6080000000002,11.0
2989.0,996.3333333333334,3096.604,840.0,107.60400000000001,3096.6040000000003,3.0
3280.0,1640.0,3712.96,713.0,432.96,3712.9600000000005,11.0
1283.0,641.5,1390.772,589.0,107.772,1390.7720000000002,7.0
2588.0,1294.0,2619.056,420.0,31.056,2619.056,1.0
4655.0,1163.75,5269.46,713.0,614.46,5269.460000000001,11.0
