loan_amount,value_per_installment,value_future,payment_term,capitalized_interest,months,installment_percent,loan_purpose_radio_tv,loan_purpose_car_used,installment_plans_none,loan_purpose_furniture,loan_purpose_appliances,allow
3103.0,1034.3333333333333,3512.5960000000005,713.0,409.59600000000006,11.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
716.0,716.0,810.5120000000001,341.0,94.512,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4333.0,1083.25,4540.984,868.0,207.984,4.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0
250.0,125.0,280.0,310.0,30.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
2454.0,1227.0,2689.5840000000003,620.0,235.584,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2161.0,720.3333333333334,2238.7960000000003,465.0,77.796,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0
4926.0,1642.0,5162.448,868.0,236.448,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
1742.0,1742.0,1992.8480000000002,360.0,250.848,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1730.0,865.0,1916.8400000000001,651.0,186.84,9.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
1345.0,672.5,1441.8400000000001,558.0,96.84,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
3942.0,985.5,4131.216,868.0,189.216,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0
4870.0,1217.5,5279.08,961.0,409.08,7.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0
3068.0,1534.0,3068.0,390.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
4144.0,2072.0,4740.736000000001,360.0,596.736,12.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
3521.0,1173.6666666666667,3605.504,810.0,84.504,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
4386.0,1462.0,4438.632,775.0,52.632,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
1782.0,1782.0,1867.536,120.0,85.536,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
6136.0,2045.3333333333333,6283.264,806.0,147.264,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
7663.0,2554.3333333333335,8306.692000000001,960.0,643.692,7.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
2862.0,715.5,3102.4080000000004,589.0,240.40800000000002,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
5208.0,1736.0,5895.456000000001,1085.0,687.456,11.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
8244.0,2061.0,8441.856,1890.0,197.856,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
4777.0,955.4,4891.648,1170.0,114.648,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
576.0,288.0,610.5600000000001,540.0,34.56,5.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
5275.0,1758.3333333333333,5654.8,930.0,379.8,6.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
2916.0,972.0,3230.9280000000003,660.0,314.928,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
5096.0,1698.6666666666667,5524.064,961.0,428.064,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
4256.0,1418.6666666666667,4511.360000000001,540.0,255.36,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
9655.0,3218.3333333333335,10350.16,930.0,695.16,6.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0
4387.0,1096.75,4913.4400000000005,300.0,526.4399999999999,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
7252.0,1813.0,7861.168000000001,1333.0,609.168,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
5234.0,1308.5,5422.424,1200.0,188.424,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
250.0,250.0,277.0,270.0,27.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2305.0,576.25,2526.28,620.0,221.28,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
3614.0,903.5,3614.0,744.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0
6558.0,1311.6,6951.4800000000005,899.0,393.48,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0
2503.0,834.3333333333334,2503.0,390.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
3955.0,1318.3333333333333,3955.0,372.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
400.0,400.0,419.20000000000005,120.0,19.2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
990.0,990.0,1037.52,124.0,47.52,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2641.0,660.25,2894.536,990.0,253.536,8.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
3311.0,1103.6666666666667,3589.1240000000003,960.0,278.124,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
4400.0,880.0,4716.8,1290.0,316.8,6.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
250.0,125.0,265.0,527.0,15.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
7819.0,1563.8,8100.484,840.0,281.48400000000004,3.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0
4706.0,1568.6666666666667,4706.0,744.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
5354.0,1784.6666666666667,5418.2480000000005,403.0,64.248,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
1534.0,1534.0,1662.8560000000002,210.0,128.856,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
5674.0,1891.3333333333333,6218.704000000001,990.0,544.7040000000001,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
1688.0,562.6666666666666,1931.0720000000001,360.0,243.072,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
250.0,125.0,262.0,496.0,12.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
337.0,337.0,349.132,840.0,12.132000000000001,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4893.0,1631.0,4893.0,1110.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0
4765.0,953.0,5336.8,1054.0,571.8,10.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
6468.0,1617.0,6468.0,744.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0
8760.0,1752.0,9600.960000000001,1364.0,840.96,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
4452.0,890.4,4825.968000000001,961.0,373.968,7.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0
2274.0,1137.0,2519.592,279.0,245.592,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
5493.0,2746.5,5822.58,527.0,329.58,5.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
